iter	Passed	Remaining
0	136	136521
1	137	68597
2	138	45905
3	138	34542
4	139	27734
5	139	23187
6	140	19934
7	141	17489
8	141	15587
9	142	14075
10	142	12829
11	143	11804
12	144	10935
13	144	10182
14	145	9527
15	145	8958
16	146	8458
17	147	8020
18	147	7617
19	148	7253
20	148	6925
21	149	6627
22	149	6354
23	150	6104
24	150	5874
25	151	5661
26	151	5463
27	152	5280
28	152	5109
29	153	4950
30	153	4801
31	154	4662
32	154	4531
33	155	4407
34	155	4290
35	156	4184
36	156	4084
37	157	3989
38	158	3896
39	158	3807
40	159	3722
41	159	3642
42	160	3566
43	160	3492
44	161	3421
45	161	3354
46	162	3289
47	162	3227
48	163	3167
49	163	3111
50	164	3056
51	164	3004
52	165	2953
53	165	2904
54	166	2857
55	166	2811
56	167	2767
57	167	2724
58	168	2684
59	168	2644
60	169	2605
61	169	2570
62	170	2537
63	171	2505
64	171	2472
65	172	2440
66	172	2408
67	173	2378
68	174	2348
69	174	2319
70	175	2290
71	175	2262
72	176	2235
73	176	2208
74	177	2183
75	177	2158
76	178	2133
77	178	2110
78	178	2086
79	179	2064
80	179	2041
81	180	2020
82	180	1996
83	181	1976
84	181	1956
85	182	1937
86	182	1918
87	183	1899
88	183	1881
89	184	1864
90	185	1849
91	185	1833
92	186	1817
93	186	1801
94	187	1785
95	188	1770
96	188	1755
97	189	1740
98	189	1725
99	190	1710
100	190	1696
101	191	1682
102	191	1667
103	192	1654
104	192	1640
105	192	1627
106	193	1614
107	193	1601
108	194	1589
109	194	1577
110	195	1565
111	195	1553
112	196	1541
113	196	1530
114	197	1519
115	197	1508
116	198	1496
117	198	1485
118	199	1478
119	200	1470
120	201	1460
121	201	1450
122	202	1440
123	202	1430
124	203	1421
125	203	1411
126	203	1402
127	204	1392
128	204	1383
129	205	1374
130	205	1366
131	206	1357
132	206	1348
133	207	1340
134	207	1332
135	208	1324
136	208	1315
137	209	1307
138	209	1300
139	210	1292
140	210	1285
141	211	1276
142	211	1269
143	212	1262
144	212	1255
145	213	1248
146	214	1246
147	215	1240
148	216	1234
149	216	1227
150	217	1221
151	217	1215
152	218	1208
153	218	1202
154	219	1196
155	219	1189
156	220	1183
157	220	1177
158	221	1171
159	221	1165
160	222	1158
161	222	1152
162	223	1146
163	223	1140
164	224	1134
165	224	1129
166	225	1123
167	225	1117
168	226	1112
169	226	1106
170	227	1101
171	227	1096
172	228	1091
173	229	1087
174	229	1082
175	230	1078
176	230	1072
177	231	1067
178	231	1062
179	232	1058
180	232	1053
181	233	1048
182	233	1043
183	234	1038
184	234	1033
185	235	1029
186	235	1024
187	236	1019
188	236	1015
189	237	1011
190	237	1006
191	238	1002
192	238	997
193	239	993
194	239	989
195	240	985
196	240	981
197	241	976
198	241	973
199	242	969
200	243	966
201	243	962
202	244	959
203	245	956
204	245	952
205	246	948
206	246	944
207	247	941
208	247	937
209	248	933
210	248	929
211	249	926
212	249	922
213	250	918
214	250	914
215	251	911
216	251	907
217	252	904
218	252	900
219	253	897
220	253	893
221	254	890
222	254	886
223	255	883
224	255	880
225	256	876
226	256	873
227	257	870
228	257	867
229	258	864
230	258	861
231	259	858
232	259	855
233	260	852
234	260	849
235	261	846
236	261	843
237	262	840
238	262	836
239	263	833
240	263	830
241	264	827
242	264	824
243	265	821
244	265	818
245	266	815
246	266	813
247	267	810
248	267	807
249	268	804
250	268	801
251	269	798
252	269	796
253	270	793
254	270	790
255	271	788
256	271	785
257	272	782
258	272	780
259	273	778
260	274	776
261	274	773
262	275	771
263	275	768
264	276	766
265	276	763
266	277	761
267	277	758
268	278	755
269	278	753
270	279	750
271	279	748
272	280	746
273	280	743
274	281	741
275	281	739
276	282	737
277	282	734
278	283	732
279	283	729
280	284	727
281	284	725
282	285	722
283	285	720
284	286	718
285	286	716
286	287	714
287	288	712
288	288	710
289	289	708
290	289	706
291	290	704
292	290	702
293	291	699
294	291	697
295	292	695
296	292	693
297	293	691
298	293	689
299	294	686
300	294	684
301	295	682
302	295	680
303	296	678
304	296	676
305	297	674
306	297	672
307	298	670
308	298	668
309	299	666
310	299	664
311	300	662
312	300	660
313	301	658
314	301	656
315	302	655
316	303	653
317	303	651
318	304	649
319	304	647
320	305	645
321	305	643
322	306	641
323	306	639
324	307	637
325	307	636
326	308	634
327	308	632
328	309	630
329	309	628
330	310	627
331	310	625
332	311	623
333	311	621
334	312	619
335	312	618
336	313	616
337	313	614
338	314	612
339	314	611
340	315	609
341	315	607
342	316	605
343	316	604
344	317	602
345	318	601
346	318	599
347	319	597
348	319	595
349	319	594
350	320	592
351	320	590
352	321	589
353	321	587
354	322	585
355	322	584
356	323	582
357	323	580
358	324	579
359	324	577
360	325	576
361	325	574
362	326	572
363	326	571
364	327	569
365	327	568
366	328	566
367	328	564
368	329	563
369	329	561
370	330	560
371	330	558
372	331	557
373	332	556
374	332	554
375	333	552
376	333	551
377	334	549
378	334	548
379	335	546
380	335	545
381	336	543
382	336	542
383	337	540
384	337	539
385	338	537
386	338	536
387	339	534
388	339	533
389	340	531
390	340	530
391	341	528
392	341	527
393	342	526
394	342	524
395	343	523
396	343	521
397	343	520
398	344	518
399	344	517
400	345	515
401	346	514
402	346	513
403	347	512
404	347	510
405	348	509
406	348	508
407	349	506
408	349	505
409	350	504
410	350	502
411	351	501
412	351	500
413	352	498
414	352	497
415	353	495
416	353	494
417	354	493
418	354	491
419	355	490
420	355	489
421	356	487
422	356	486
423	357	485
424	357	483
425	358	482
426	358	481
427	359	479
428	359	478
429	360	477
430	360	476
431	361	474
432	361	473
433	362	472
434	362	471
435	363	469
436	363	468
437	364	467
438	364	465
439	365	464
440	365	463
441	366	462
442	366	460
443	367	459
444	367	458
445	368	457
446	368	455
447	369	454
448	369	453
449	370	452
450	370	451
451	370	449
452	371	448
453	371	447
454	372	446
455	372	444
456	373	443
457	373	442
458	374	441
459	374	440
460	375	439
461	376	438
462	376	436
463	377	435
464	377	434
465	378	433
466	378	432
467	379	430
468	379	429
469	380	428
470	380	427
471	381	426
472	381	425
473	382	423
474	382	422
475	382	421
476	383	420
477	383	419
478	384	418
479	384	417
480	385	415
481	385	414
482	386	413
483	386	412
484	387	411
485	387	410
486	388	409
487	388	407
488	389	406
489	389	405
490	390	404
491	391	403
492	391	402
493	392	401
494	392	400
495	392	399
496	393	398
497	393	397
498	394	395
499	394	394
500	395	393
501	395	392
502	396	391
503	396	390
504	397	389
505	397	388
506	398	387
507	398	386
508	399	385
509	399	384
510	400	382
511	400	381
512	401	380
513	401	379
514	402	378
515	402	377
516	403	376
517	403	375
518	404	374
519	404	373
520	405	372
521	405	371
522	406	370
523	406	369
524	407	368
525	407	367
526	408	366
527	408	365
528	409	364
529	409	363
530	410	362
531	410	361
532	411	360
533	411	359
534	412	358
535	412	357
536	413	356
537	413	355
538	414	354
539	414	353
540	415	352
541	415	351
542	416	350
543	416	349
544	417	348
545	417	347
546	418	346
547	418	345
548	418	344
549	419	343
550	420	342
551	420	341
552	421	340
553	421	339
554	422	338
555	422	337
556	423	336
557	423	335
558	424	334
559	424	333
560	425	332
561	425	331
562	426	330
563	426	329
564	427	328
565	427	327
566	428	326
567	428	325
568	429	325
569	429	324
570	430	323
571	430	322
572	431	321
573	431	320
574	432	319
575	432	318
576	433	317
577	433	316
578	434	315
579	434	314
580	435	314
581	436	313
582	436	312
583	437	311
584	437	310
585	438	309
586	438	308
587	438	307
588	439	306
589	439	305
590	440	304
591	440	303
592	441	302
593	441	302
594	442	301
595	442	300
596	443	299
597	443	298
598	444	297
599	444	296
600	445	295
601	445	294
602	446	293
603	446	292
604	447	292
605	447	291
606	448	290
607	448	289
608	449	288
609	450	287
610	450	286
611	451	286
612	451	285
613	452	284
614	452	283
615	453	282
616	453	281
617	454	280
618	454	279
619	455	278
620	455	278
621	455	277
622	456	276
623	456	275
624	457	274
625	458	273
626	458	272
627	459	271
628	459	271
629	460	270
630	460	269
631	460	268
632	461	267
633	461	266
634	462	265
635	462	264
636	463	264
637	464	263
638	464	262
639	465	261
640	465	260
641	466	260
642	466	259
643	467	258
644	467	257
645	468	256
646	468	255
647	469	254
648	469	254
649	470	253
650	470	252
651	471	251
652	471	250
653	472	249
654	472	248
655	473	248
656	473	247
657	474	246
658	474	245
659	474	244
660	475	243
661	475	243
662	476	242
663	477	241
664	477	240
665	478	239
666	478	238
667	479	238
668	479	237
669	480	236
670	480	235
671	481	234
672	481	234
673	482	233
674	482	232
675	483	231
676	483	230
677	484	229
678	484	229
679	485	228
680	485	227
681	486	226
682	486	225
683	487	225
684	487	224
685	488	223
686	488	222
687	489	221
688	489	220
689	490	220
690	490	219
691	491	218
692	491	217
693	492	216
694	492	216
695	493	215
696	493	214
697	494	213
698	494	213
699	495	212
700	496	211
701	496	210
702	497	210
703	498	209
704	498	208
705	499	207
706	499	207
707	500	206
708	501	205
709	501	204
710	502	204
711	502	203
712	503	202
713	503	201
714	504	200
715	504	200
716	505	199
717	505	198
718	506	197
719	507	197
720	507	196
721	508	195
722	509	195
723	509	194
724	510	193
725	510	192
726	511	192
727	511	191
728	512	190
729	513	189
730	513	188
731	514	188
732	514	187
733	515	186
734	515	185
735	516	185
736	516	184
737	517	183
738	517	182
739	518	182
740	518	181
741	519	180
742	519	179
743	520	178
744	520	178
745	521	177
746	521	176
747	522	175
748	522	175
749	523	174
750	524	173
751	524	173
752	525	172
753	525	171
754	526	170
755	526	170
756	527	169
757	527	168
758	528	167
759	528	167
760	529	166
761	529	165
762	530	164
763	530	163
764	531	163
765	531	162
766	532	161
767	532	160
768	533	160
769	533	159
770	534	158
771	534	157
772	535	157
773	535	156
774	536	155
775	536	154
776	537	154
777	538	153
778	538	152
779	539	152
780	539	151
781	540	150
782	540	149
783	541	149
784	541	148
785	542	147
786	542	146
787	542	146
788	543	145
789	543	144
790	544	143
791	544	143
792	545	142
793	545	141
794	546	140
795	546	140
796	547	139
797	548	138
798	548	137
799	549	137
800	549	136
801	550	135
802	550	135
803	550	134
804	551	133
805	552	132
806	552	132
807	553	131
808	553	130
809	554	130
810	554	129
811	555	128
812	555	127
813	556	127
814	556	126
815	557	125
816	557	124
817	558	124
818	558	123
819	559	122
820	559	122
821	560	121
822	560	120
823	561	119
824	561	119
825	562	118
826	562	117
827	563	117
828	563	116
829	564	115
830	564	114
831	565	114
832	565	113
833	566	112
834	567	112
835	567	111
836	568	110
837	568	109
838	569	109
839	569	108
840	570	107
841	570	107
842	571	106
843	571	105
844	572	104
845	572	104
846	573	103
847	573	102
848	574	102
849	574	101
850	575	100
851	575	99
852	576	99
853	576	98
854	577	97
855	577	97
856	578	96
857	578	95
858	579	95
859	579	94
860	580	93
861	580	92
862	581	92
863	581	91
864	582	90
865	582	90
866	583	89
867	583	88
868	584	88
869	584	87
870	585	86
